"path","type","value"
"evidence_refs[6]","String","608f5b88ee8cafd9"
"evidence_refs[7]","String","800a13efde5c2904"
"evidence_refs[8]","String","5d506b1f101b616e"
"evidence_refs[9]","String","78835d78532fe59d"
"evidence_refs[10]","String","4e4fb3735e36ad11"
"evidence_refs[11]","String","f503e8b5c49b828d"
"evidence_refs[12]","String","meta:UnknownsAgent"
"evidence_refs[13]","String","meta:ConflictResolutionAgent"
"evidence_refs[14]","String","meta:PolicyScopeAgent"
"evidence_refs[15]","String","meta:TicketReadinessAgent"
"evidence_refs[16]","String","meta:TraceIntegrityAgent"
"evidence_refs[17]","String","meta:AttestationReadinessAgent"
"evidence_refs[18]","String","meta:HumanOverrideEligibilityAgent"
"evidence_refs[19]","String","meta:SeverityClassifierAgent"
"evidence_refs[20]","String","meta:ReplayConsistencyAgent"
"evidence_refs[21]","String","meta:ProofConsistencyAgent"
"metrics.authorize_score","Int32","0"
"metrics.analyze_score","Int32","0"
"metrics.block_score","Int32","0"
"metrics.proof_ready","Boolean","True"
"metrics.deterministic","Boolean","True"
"raw_engine.domain","String","bank"
"raw_engine.agent_votes[0]","String","TransactionContextAgent"
"raw_engine.agent_votes[1]","String","CounterpartyAgent"
"raw_engine.agent_votes[2]","String","LiquidityExposureAgent"
"raw_engine.agent_votes[3]","String","BehaviorShiftAgent"
"raw_engine.agent_votes[4]","String","FraudPatternAgent"
"raw_engine.agent_votes[5]","String","LimitPolicyAgent"
"raw_engine.agent_votes[6]","String","AffordabilityAgent"
"raw_engine.agent_votes[7]","String","TemporalUrgencyAgent"
"raw_engine.agent_votes[8]","String","IdentityMismatchAgent"
"raw_engine.agent_votes[9]","String","NarrativeConflictAgent"
"raw_engine.agent_votes[10]","String","RecoveryPathAgent"
"raw_engine.agent_votes[11]","String","BankProofAgent"
"raw_engine.vote_count","Int32","12"
"sigma_override","Boolean","False"
"sigma_step.step","Int32","0"
"sigma_step.severity","String","S4"
"sigma_step.z","Decimal","1.9"
"sigma_step.z_t","Decimal","1.9"
"sigma_step.velocity","Int32","0"
"sigma_step.acceleration","Int32","0"
"sigma_step.stability_status","String","STABLE"
"sigma_step.violations","array_empty",""
"sigma_step.coherence_ok","Boolean","True"
"sigma_report.pass","Boolean","True"
"sigma_report.status","String","PASS"
"sigma_report.steps_evaluated","Int32","1"
"sigma_report.unstable_steps","Int32","0"
"sigma_report.violations_total","Int32","0"
"sigma_report.violation_types","array_empty",""
"sigma_report.metrics.mean_velocity","Int32","0"
"sigma_report.metrics.total_steps","Int32","1"
"sigma_report.metrics.tau_max_used","Int32","5"
"sigma_report.metrics.accel_limit_used","Decimal","0.6"
"sigma_report.constraints.vanishing_acceleration","String","OK"
"sigma_report.constraints.velocity_band","String","OK"
"sigma_report.constraints.coherence_stationarity","String","OK"
"sigma_report.steps_detail[0].step","Int32","0"
"sigma_report.steps_detail[0].severity","String","S4"
"sigma_report.steps_detail[0].z","Decimal","1.9"
"sigma_report.steps_detail[0].z_t","Decimal","1.9"
"sigma_report.steps_detail[0].velocity","Int32","0"
"sigma_report.steps_detail[0].acceleration","Int32","0"
"sigma_report.steps_detail[0].stability_status","String","STABLE"
"sigma_report.steps_detail[0].violations","array_empty",""
"sigma_report.steps_detail[0].coherence_ok","Boolean","True"
"sigma_report.stdout","String","V18.9 Sigma Dynamic Stability - PASS
Steps evaluated : 1
Unstable steps  : 0
Total violations: 0
Config source   : C:\Users\User\Desktop\obsidia-engine-proof-core\obsidia-x108-proofs\sigma\sigma_config.json
tau_max         : 5.0
accel_limit     : 0.6
No violations detected.
"
